Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2021-06-22,2055.429,2060.9443,2023.7958,2029.2655,2016.0507,271039,0.0000,1.0
2021-06-23,2050.2327,2051.1444,2006.8852,2010.2126,1997.122,674944,0.0000,1.0
2021-06-24,2019.0554,2019.2377,1950.8662,1963.0363,1950.2529,1045454,0.0000,1.0
2021-06-25,1968.9163,1968.9163,1897.2174,1918.3214,1905.8291,835596,0.0000,1.0
2021-06-28,1936.2803,1939.1063,1897.1718,1901.6387,1889.2551,663274,0.0000,1.0
2021-06-29,1904.3736,1922.606,1899.1774,1902.7327,1890.3419,447665,0.0000,1.0
2021-06-30,1909.8433,1935.8245,1907.0629,1924.3381,1911.8066,426251,0.0000,1.0
2021-07-01,1927.2552,1934.457,1909.4331,1912.3503,1899.8969,425382,0.0000,1.0
2021-07-02,1914.3102,1944.7128,1909.1596,1941.0207,1928.3806,227146,0.0000,1.0
2021-07-05,1948.8606,1962.7173,1943.1174,1959.8912,1947.1282,461608,0.0000,1.0
2021-07-06,1959.9824,1960.028,1933.5454,1938.0579,1925.4371,277840,0.0000,1.0
2021-07-07,1938.4226,1939.6989,1913.2163,1923.6543,1911.1273,432960,0.0000,1.0
2021-07-08,1928.0757,1928.805,1897.0806,1907.9289,1895.5043,319555,0.0000,1.0
2021-07-09,1902.4592,1906.3792,1883.3608,1889.97,1877.6623,439784,0.0000,1.0
2021-07-12,1897.8099,1915.9967,1891.7477,1900.2257,1887.8513,1575869,0.0000,1.0
2021-07-13,1914.4014,1917.4098,1903.5531,1913.9912,1901.5271,356025,0.0000,1.0
2021-07-14,1916.8628,1920.6004,1897.9923,1901.6387,1889.2551,143306,0.0000,1.0
2021-07-15,1910.7549,1910.7549,1894.9383,1899.1318,1886.7645,211763,0.0000,1.0
2021-07-16,1900.7271,1927.6199,1900.7271,1925.1585,1912.6217,333073,0.0000,1.0
2021-07-19,1918.0479,1936.2803,1908.0201,1913.581,1901.1195,1466286,0.0000,1.0
2021-07-20,1911.9856,1921.7855,1899.8155,1908.567,1896.1383,262169,0.0000,1.0
2021-07-22,1924.6115,1936.3714,1913.3075,1933.5454,1920.954,170937,0.0000,1.0
2021-07-23,1946.3081,1946.3081,1916.9995,1919.1418,1906.6442,253418,0.0000,1.0
2021-07-26,1923.5176,1934.0924,1888.6026,1894.0723,1881.7379,378150,0.0000,1.0
2021-07-27,1895.2574,1899.3597,1860.7982,1872.7404,1860.5449,271432,0.0000,1.0
2021-07-28,1878.0278,1878.0734,1838.3723,1856.8326,1844.7408,207230,0.0000,1.0
2021-07-29,1868.8204,1891.0639,1863.1228,1873.6064,1861.4053,142646,0.0000,1.0
